total_price,total_freight,average_price,average_freight,item_count,customer_state,order_month,order_dayofweek,order_year,actual_delivery_days,predicted_delivery_days,prediction_error,risk_level
70.0,16.25,70.0,16.25,1,RJ,3,3,2018,36.95842592592592,25.684893292056174,11.273532633869749,High Risk
380.9,22.72,380.9,22.72,1,CE,3,1,2018,9.474988425925925,26.73500072071577,17.260012294789846,High Risk
85.0,16.84,85.0,16.84,1,RJ,11,0,2017,9.411180555555555,20.416047090366483,11.004866534810928,High Risk
78.0,18.43,78.0,18.43,1,RJ,3,3,2018,25.979363425925925,25.884426728043135,0.09493669788279036,High Risk
79.9,17.81,79.9,17.81,1,RJ,11,5,2017,19.124027777777776,21.435842933406164,2.3118151556283877,High Risk
27.9,25.63,27.9,25.63,1,CE,2,6,2018,36.093472222222225,27.164749452610852,8.928722769611372,High Risk
40.5,26.79,40.5,26.79,1,CE,3,3,2018,7.114583333333333,27.509176167920693,20.39459283458736,High Risk
296.0,25.72,296.0,25.72,1,RJ,3,6,2018,13.737118055555555,25.449821023443427,11.712702967887871,High Risk
94.99,17.94,94.99,17.94,1,CE,2,0,2018,34.735416666666666,27.061897854107755,7.67351881255891,High Risk
10.99,34.15,10.99,34.15,1,AL,2,1,2018,14.793275462962963,21.997305082942848,7.204029619979885,High Risk
122.99,18.74,122.99,18.74,1,GO,3,0,2018,9.535462962962963,21.349821045357263,11.8143580823943,High Risk
83.49,18.46,83.49,18.46,1,RJ,3,1,2018,14.121701388888889,25.884426728043135,11.762725339154246,High Risk
129.0,23.77,129.0,23.77,1,ES,12,2,2017,38.4666087962963,21.839923729846113,16.626685066450186,High Risk
199.98,26.68,199.98,26.68,1,CE,12,6,2017,25.985381944444445,23.376821912416926,2.608560032027519,High Risk
107.0,58.54,107.0,58.54,1,ES,1,5,2018,19.478993055555556,24.193850978703413,4.714857923147857,High Risk
49.9,15.1,49.9,15.1,1,SC,2,3,2018,35.025729166666665,21.269407490544424,13.75632167612224,High Risk
43.0,16.6,43.0,16.6,1,RJ,12,4,2017,20.77625,21.874698497322285,1.0984484973222841,High Risk
160.99,21.62,160.99,21.62,1,RJ,11,5,2017,10.099502314814815,22.58691764369873,12.487415328883914,High Risk
56.85,16.84,56.85,16.84,1,MT,11,3,2017,11.306909722222223,20.339350916086648,9.032441193864425,High Risk
59.9,17.67,59.9,17.67,1,RS,11,1,2017,15.0853125,20.52475256819225,5.439440068192248,High Risk
15.0,17.63,15.0,17.63,1,PE,11,2,2017,8.566493055555556,20.211259032457928,11.644765976902372,High Risk
89.99,18.2,89.99,18.2,1,BA,11,1,2017,14.106145833333333,20.36238607651339,6.256240243180056,High Risk
99.0,20.74,99.0,20.74,1,CE,3,1,2018,6.084224537037037,26.698870091022414,20.614645553985376,High Risk
114.9,33.25,114.9,33.25,1,TO,2,6,2018,36.12929398148148,21.80708154419944,14.32221243728204,High Risk
299.9,29.48,299.9,29.48,1,RS,11,3,2017,15.246307870370371,21.89543763518236,6.64912976481199,High Risk
194.8,15.11,194.8,15.11,1,RJ,2,0,2018,10.097870370370371,26.222055410901895,16.124185040531522,High Risk
457.99,17.96,457.99,17.96,1,RJ,2,2,2018,19.18255787037037,26.61745902129638,7.4349011509260094,High Risk
108.0,19.3,108.0,19.3,1,BA,2,5,2018,9.487407407407407,21.349821045357263,11.862413637949857,High Risk
169.0,57.85,169.0,57.85,1,RJ,12,1,2017,39.73864583333334,24.770745782185685,14.967900051147652,High Risk
149.99,18.62,149.99,18.62,1,MS,11,5,2017,23.365023148148147,20.787076800516438,2.577946347631709,High Risk
149.9,25.18,149.9,25.18,1,PA,3,1,2018,14.507013888888888,36.615003934640335,22.107990045751446,High Risk
759.9,21.89,759.9,21.89,1,BA,2,2,2018,16.789548611111112,21.349821045357263,4.560272434246151,High Risk
86.9,21.1,86.9,21.1,1,DF,2,0,2018,16.74375,21.349821045357263,4.606071045357265,High Risk
49.0,21.15,49.0,21.15,1,PB,2,4,2018,12.944988425925926,21.349821045357263,8.404832619431337,High Risk
44.88,41.11,44.88,41.11,1,SC,3,1,2018,10.289606481481481,21.923899060183068,11.634292578701587,High Risk
100.4,35.83,100.4,35.83,1,MS,3,0,2018,28.283796296296295,21.849790041352353,6.434006254943942,High Risk
149.9,20.02,149.9,20.02,1,PB,3,4,2018,6.257314814814815,21.349821045357263,15.092506230542448,High Risk
61.5,18.31,61.5,18.31,1,RJ,3,3,2018,35.808113425925924,25.884426728043135,9.92368669788279,High Risk
190.9,16.09,190.9,16.09,1,RJ,11,6,2017,19.853078703703705,20.968853831071584,1.115775127367879,High Risk
229.04,43.97,229.04,43.97,1,MT,2,0,2018,21.062326388888888,21.94148203567081,0.8791556467819213,High Risk
169.9,82.01,169.9,82.01,1,PE,12,6,2017,11.166435185185184,23.703951184542515,12.53751599935733,High Risk
112.0,16.54,112.0,16.54,1,ES,11,3,2017,12.4246875,20.09069289995407,7.666005399954072,High Risk
2649.99,83.64,2649.99,83.64,1,RJ,12,3,2017,36.21347222222222,27.86077373026608,8.352698491956144,High Risk
53.9,52.95,53.9,52.95,1,RO,3,6,2018,24.00747685185185,22.293274659981147,1.7142021918707044,High Risk
42.9,22.67,42.9,22.67,1,RN,11,2,2017,13.347152777777778,21.114141017990246,7.766988240212468,High Risk
15.12,16.95,15.12,16.95,1,SC,3,5,2018,11.149016203703704,21.349821045357263,10.200804841653559,High Risk
348.8,16.19,348.8,16.19,1,RJ,12,5,2017,18.367337962962964,22.570749713642417,4.203411750679454,High Risk
277.0,20.48,277.0,20.48,1,CE,2,4,2018,33.13975694444444,26.958482497686386,6.1812744467580565,High Risk
166.99,23.49,166.99,23.49,1,RJ,12,5,2017,46.75597222222222,23.6450521899558,23.11092003226642,High Risk
429.9,29.74,429.9,29.74,1,BA,3,3,2018,32.45792824074074,21.741121453451274,10.716806787289467,High Risk
136.68,18.21,136.68,18.21,1,ES,12,1,2017,15.377152777777777,21.143763524660713,5.766610746882936,High Risk
59.0,15.29,59.0,15.29,1,ES,3,4,2018,20.05582175925926,21.269407490544424,1.2135857312851641,High Risk
86.99,17.86,86.99,17.86,1,GO,12,1,2017,29.557141203703704,21.336217852535125,8.22092335116858,High Risk
24.5,15.1,24.5,15.1,1,RJ,12,1,2017,14.03704861111111,20.987276634640708,6.950228023529597,High Risk
39.99,9.34,39.99,9.34,1,SP,11,2,2017,2.1983912037037037,28.50650222626789,26.308111022564187,High Risk
29.3,15.23,29.3,15.23,1,RJ,3,5,2018,18.092858796296298,25.271189824960956,7.178331028664658,High Risk
159.9,21.61,159.9,21.61,1,RJ,12,0,2017,49.23653935185185,23.656210246961212,25.58032910489064,High Risk
440.55,11.44,440.55,11.44,1,SP,5,3,2018,6.26974537037037,34.46861101903863,28.198865648668264,High Risk
29.9,16.79,29.9,16.79,1,BA,2,0,2018,7.898043981481481,21.349821045357263,13.451777063875781,High Risk
80.0,28.96,80.0,28.96,1,MT,11,5,2017,10.45619212962963,21.72286973493722,11.26667760530759,High Risk
179.0,62.89,179.0,62.89,1,RJ,3,2,2018,44.15643518518519,24.573775268796588,19.5826599163886,High Risk
1699.99,98.02,1699.99,98.02,1,ES,11,4,2017,20.545034722222223,41.332435063693175,20.787400341470953,High Risk
37.99,17.63,37.99,17.63,1,CE,1,5,2018,13.20019675925926,23.835992824620334,10.635796065361074,High Risk
105.0,27.27,105.0,27.27,1,PE,2,5,2018,24.95457175925926,21.93652598417814,3.01804577508112,High Risk
27.9,15.1,27.9,15.1,1,ES,2,3,2018,20.23763888888889,21.269407490544424,1.0317686016555356,High Risk
35.9,16.11,35.9,16.11,1,MS,2,0,2018,18.402013888888888,21.303904265882114,2.901890376993226,High Risk
14.9,25.63,14.9,25.63,1,PA,12,4,2017,21.025104166666665,22.7653355373768,1.7402313707101342,High Risk
179.9,26.1,179.9,26.1,1,RJ,11,3,2017,9.134189814814814,21.635573117402192,12.501383302587378,High Risk
49.0,17.64,49.0,17.64,1,RJ,11,5,2017,18.907685185185183,21.354571195371204,2.44688601018602,High Risk
125.0,20.11,125.0,20.11,1,MT,2,0,2018,17.816122685185185,21.349821045357263,3.533698360172078,High Risk
17.53,15.23,17.53,15.23,1,RJ,3,0,2018,10.35224537037037,25.174949678126833,14.822704307756462,High Risk
47.7,15.23,47.7,15.23,1,RJ,3,1,2018,26.351550925925928,25.271189824960956,1.0803611009649714,High Risk
103.9,17.98,103.9,17.98,1,DF,2,0,2018,23.305949074074075,21.349821045357263,1.9561280287168117,High Risk
116.6,35.19,116.6,35.19,1,MT,2,0,2018,27.909537037037037,21.849790041352353,6.059746995684684,High Risk
109.9,57.44,109.9,57.44,1,SC,3,6,2018,30.181550925925926,22.14962263750182,8.031928288424105,High Risk
193.8,35.86,96.9,17.93,2,RJ,12,5,2017,65.4022337962963,22.057542345897424,43.34469145039888,High Risk
419.9,20.22,419.9,20.22,1,PE,3,3,2018,36.77560185185185,21.349821045357263,15.42578080649459,High Risk
179.0,19.13,179.0,19.13,1,ES,3,2,2018,20.86113425925926,21.349821045357263,0.488686786098004,High Risk
149.99,38.57,149.99,38.57,1,MT,12,5,2017,27.235046296296296,22.917238881719626,4.31780741457667,High Risk
59.0,17.66,59.0,17.66,1,ES,12,4,2017,27.06011574074074,21.938442812972497,5.121672927768245,High Risk
134.57,45.4,134.57,45.4,1,RJ,12,6,2017,17.11162037037037,22.906827467843456,5.795207097473085,High Risk
39.9,16.6,39.9,16.6,1,RS,2,4,2018,18.845972222222223,21.349821045357263,2.5038488231350406,High Risk
59.9,15.17,59.9,15.17,1,DF,2,0,2018,16.65619212962963,21.269407490544424,4.6132153609147935,High Risk
249.99,18.85,249.99,18.85,1,RJ,12,3,2017,12.353993055555556,22.0452766681105,9.691283612554944,High Risk
25.99,15.1,25.99,15.1,1,RS,2,4,2018,26.158726851851853,21.269407490544424,4.889319361307429,High Risk
27.5,22.06,27.5,22.06,1,BA,3,2,2018,19.024641203703705,21.363143446990698,2.3385022432869924,High Risk
59.9,16.18,59.9,16.18,1,RJ,12,2,2017,29.277916666666666,21.513761972860674,7.764154693805992,High Risk
89.9,68.99,89.9,68.99,1,RJ,2,1,2018,9.9396875,24.24487957078677,14.305192070786772,High Risk
248.99,60.29,248.99,60.29,1,RJ,12,3,2017,11.098530092592593,23.97548635593179,12.876956263339196,High Risk
188.0,17.97,188.0,17.97,1,SC,2,6,2018,8.188530092592593,21.37677676063626,13.188246668043668,High Risk
86.9,21.1,86.9,21.1,1,SC,3,0,2018,16.58068287037037,21.349821045357263,4.769138174986892,High Risk
349.9,31.96,349.9,31.96,1,CE,3,6,2018,58.11417824074074,28.803120725441588,29.311057515299154,High Risk
49.9,17.6,49.9,17.6,1,RJ,2,3,2018,34.09027777777778,25.70270763594126,8.38757014183652,High Risk
289.0,39.16,289.0,39.16,1,PE,12,5,2017,18.567569444444445,23.023264312841444,4.455694868397,High Risk
48.0,24.35,48.0,24.35,1,MA,4,0,2017,15.451157407407408,21.518744749333777,6.0675873419263695,High Risk
369.49,70.74,369.49,70.74,1,BA,1,6,2018,22.38800925925926,25.06293290192267,2.674923642663412,High Risk
159.0,18.36,159.0,18.36,1,RJ,11,2,2017,12.453287037037038,20.411364989641456,7.958077952604418,High Risk
29.9,20.75,29.9,20.75,1,PA,12,4,2017,35.041990740740744,22.046855868031766,12.995134872708977,High Risk
49.9,25.63,49.9,25.63,1,PA,1,4,2018,27.721145833333335,22.555388775408254,5.165757057925081,High Risk
239.9,26.96,239.9,26.96,1,RS,2,3,2018,11.546782407407408,21.500079935058082,9.953297527650674,High Risk
499.99,25.66,499.99,25.66,1,CE,4,0,2018,22.93167824074074,22.59696211200318,0.3347161287375613,High Risk
229.99,27.93,229.99,27.93,1,RJ,11,4,2017,12.804444444444444,21.629072545984403,8.82462810153996,High Risk
89.9,21.12,89.9,21.12,1,RS,11,4,2017,41.325381944444445,21.48064598952278,19.844735954921664,High Risk
215.0,22.59,215.0,22.59,1,RJ,3,4,2018,9.946319444444445,26.416318334396795,16.46999888995235,High Risk
98.99,51.19,98.99,51.19,1,PB,3,4,2018,27.02394675925926,21.964784638085426,5.059162121173834,High Risk
235.0,22.45,235.0,22.45,1,MS,2,6,2018,18.19900462962963,21.407682137757448,3.208677508127817,High Risk
12.9,15.1,12.9,15.1,1,RJ,2,0,2018,51.38824074074074,25.184688283740073,26.20355245700067,High Risk
279.99,37.32,279.99,37.32,1,PA,9,5,2017,18.23675925925926,20.70431604635322,2.4675567870939616,High Risk
219.9,18.79,219.9,18.79,1,RS,12,2,2017,16.849097222222223,21.31910330762635,4.470006085404126,High Risk
179.98,90.18,89.99,45.09,2,RJ,11,5,2017,15.476539351851851,21.945937334033275,6.469397982181423,High Risk
69.9,17.74,69.9,17.74,1,SC,11,4,2017,33.98096064814815,20.653810408097556,13.327150240050592,High Risk
15.9,16.79,15.9,16.79,1,GO,2,6,2018,22.326886574074074,21.37677676063626,0.9501098134378125,High Risk
99.95,18.28,99.95,18.28,1,DF,3,6,2018,10.028344907407407,21.37677676063626,11.348431853228854,High Risk
49.9,19.32,49.9,19.32,1,RJ,3,3,2018,29.91034722222222,25.795681883910547,4.114665338311674,High Risk
79.99,19.53,79.99,19.53,1,SC,3,6,2018,5.380729166666667,21.37677676063626,15.996047593969594,High Risk
64.0,36.46,32.0,18.23,2,RS,3,6,2018,12.792939814814815,21.37677676063626,8.583836945821446,High Risk
19.99,20.8,19.99,20.8,1,AL,4,5,2017,16.824537037037036,24.174591372978707,7.350054335941671,High Risk
278.0,26.5,278.0,26.5,1,PA,12,5,2017,33.08896990740741,23.18788153517411,9.9010883722333,High Risk
325.0,18.71,325.0,18.71,1,BA,3,4,2018,25.78144675925926,21.349821045357263,4.431625713901997,High Risk
79.79,15.31,79.79,15.31,1,ES,2,3,2018,14.504583333333333,21.269407490544424,6.764824157211091,High Risk
79.9,19.53,79.9,19.53,1,GO,3,2,2018,26.20741898148148,21.349821045357263,4.857597936124218,High Risk
269.9,23.6,269.9,23.6,1,BA,3,0,2018,22.9215625,21.442063591693614,1.479498908306386,High Risk
38.9,14.1,38.9,14.1,1,RJ,2,6,2018,16.53959490740741,20.17081592313255,3.631221015725142,High Risk
209.9,18.72,209.9,18.72,1,RJ,2,0,2018,35.071099537037036,26.61745902129638,8.453640515740656,High Risk
24.99,14.1,24.99,14.1,1,RJ,11,1,2017,9.366840277777778,20.072035038112038,10.70519476033426,High Risk
65.9,34.26,65.9,34.26,1,RS,12,1,2017,17.337141203703705,22.515301729800946,5.1781605260972405,High Risk
199.0,18.96,199.0,18.96,1,MT,12,5,2017,11.285208333333333,21.78298699443545,10.497778661102117,High Risk
117.0,17.07,117.0,17.07,1,RS,2,4,2018,26.529189814814814,21.349821045357263,5.17936876945755,High Risk
56.99,15.84,56.99,15.84,1,BA,12,6,2017,22.116400462962964,21.55162602029398,0.564774442668984,High Risk
126.99,37.85,126.99,37.85,1,PA,3,3,2017,14.78207175925926,20.2474520642062,5.46538030494694,High Risk
49.9,19.59,49.9,19.59,1,SC,12,2,2017,20.34349537037037,20.22986362371828,0.1136317466520893,High Risk
199.9,17.65,199.9,17.65,1,RS,11,3,2017,13.850023148148148,20.88323836054758,7.033215212399432,High Risk
129.0,38.95,129.0,38.95,1,PA,3,4,2018,13.705752314814815,40.3596819565806,26.653929641765785,High Risk
107.0,15.5,107.0,15.5,1,RJ,2,0,2018,10.355752314814815,25.87799093159821,15.522238616783394,High Risk
12.9,18.23,12.9,18.23,1,RJ,3,6,2018,32.94809027777778,25.869741720408616,7.078348557369164,High Risk
33.6,25.63,33.6,25.63,1,PA,11,0,2017,46.128564814814816,21.81094987529384,24.317614939520976,High Risk
27.99,15.79,27.99,15.79,1,BA,2,1,2018,8.357256944444444,21.269407490544424,12.91215054609998,High Risk
235.0,59.82,235.0,59.82,1,MA,2,2,2018,49.128877314814815,23.51563270495214,25.613244609862676,High Risk
120.0,23.38,120.0,23.38,1,DF,3,4,2018,10.129108796296297,21.42448061620587,11.295371819909573,High Risk
914.65,40.2,914.65,40.2,1,CE,11,5,2017,13.133472222222222,22.638010275038585,9.504538052816363,High Risk
37.9,15.11,37.9,15.11,1,DF,2,3,2018,11.322141203703703,21.269407490544424,9.947266286840721,High Risk
29.5,23.28,29.5,23.28,1,RJ,3,6,2018,27.939780092592592,25.475192654365188,2.4645874382274044,High Risk
569.9,119.29,569.9,119.29,1,RJ,11,4,2017,17.557060185185186,23.29621713895951,5.739156953774323,High Risk
49.0,25.63,49.0,25.63,1,PA,1,1,2018,21.734386574074072,23.072283403881528,1.3378968298074554,High Risk
1554.0,88.54,777.0,44.27,2,RJ,1,2,2018,47.33165509259259,21.76578529726892,25.56586979532367,High Risk
200.0,19.28,200.0,19.28,1,RJ,3,3,2018,31.559583333333332,26.61745902129638,4.9421243120369525,High Risk
258.0,58.6,129.0,29.3,2,CE,1,2,2018,28.11829861111111,23.55879140440082,4.55950720671029,High Risk
96.0,15.42,96.0,15.42,1,RJ,2,6,2018,10.808287037037037,25.467987586342506,14.65970054930547,High Risk
148.0,20.77,148.0,20.77,1,RJ,3,1,2018,20.201319444444444,26.394346084205413,6.193026639760969,High Risk
114.9,18.05,114.9,18.05,1,RJ,11,2,2017,13.374016203703704,20.36012211535988,6.986105911656175,High Risk
700.0,31.44,700.0,31.44,1,RS,11,6,2017,15.089351851851852,21.028001253152183,5.9386494013003315,High Risk
319.96,291.72,79.99,72.93,4,MA,3,1,2018,35.310405092592596,24.29029683592203,11.020108256670564,High Risk
69.99,16.25,69.99,16.25,1,RS,12,0,2017,16.238043981481482,21.257714686563812,5.01967070508233,High Risk
89.9,21.03,89.9,21.03,1,PE,11,0,2017,9.795324074074074,21.210834368773803,11.415510294699729,High Risk
169.98,49.44,84.99,24.72,2,SE,3,1,2018,30.353599537037038,21.42448061620587,8.929118920831169,High Risk
1041.0,114.56,1041.0,114.56,1,MS,3,4,2017,10.92619212962963,21.15330406825572,10.227111938626091,High Risk
14.9,25.63,14.9,25.63,1,DF,3,4,2018,25.896435185185187,21.403976102311564,4.492459082873623,High Risk
49.99,38.4,49.99,38.4,1,CE,4,6,2018,22.991400462962964,22.76522447427986,0.22617598868310296,High Risk
249.0,16.49,249.0,16.49,1,GO,11,1,2017,15.051180555555556,20.19428032116545,5.143099765609895,High Risk
29.9,16.11,29.9,16.11,1,SC,11,6,2017,17.218622685185185,20.638377832676223,3.4197551474910384,High Risk
13.7,15.23,13.7,15.23,1,SC,3,0,2018,22.27513888888889,21.269407490544424,1.0057313983444658,High Risk
246.62,18.3,246.62,18.3,1,PE,11,5,2017,20.997650462962962,20.759576499119227,0.23807396384373547,High Risk
49.9,16.79,49.9,16.79,1,BA,2,1,2018,24.516655092592593,21.349821045357263,3.16683404723533,High Risk
146.0,34.82,146.0,34.82,1,AM,11,2,2017,37.24994212962963,22.22583716335402,15.024104966275612,High Risk
79.99,15.32,79.99,15.32,1,RJ,2,1,2018,8.465196759259259,25.379087989557046,16.913891230297786,High Risk
23.9,18.28,23.9,18.28,1,BA,3,4,2018,15.849016203703703,21.349821045357263,5.50080484165356,High Risk
599.0,82.42,599.0,82.42,1,RS,12,5,2017,47.19549768518519,23.23182939072574,23.96366829445945,High Risk
484.21000000000004,206.64,121.05250000000001,51.66,4,MA,1,1,2018,14.378912037037036,27.79907176152968,13.420159724492645,High Risk
119.99,14.81,119.99,14.81,1,MG,10,2,2016,26.54175925925926,23.88158126205344,2.6601779972058175,High Risk
472.0,62.32,118.0,15.58,4,RS,2,3,2018,11.30642361111111,21.269407490544424,9.962983879433313,High Risk
73.35,35.83,73.35,35.83,1,MA,11,4,2017,45.05815972222222,27.667253768091506,17.390905954130716,High Risk
109.9,20.01,109.9,20.01,1,MT,2,0,2018,17.075335648148148,21.349821045357263,4.274485397209116,High Risk
58.9,37.55,58.9,37.55,1,PE,2,4,2018,17.183344907407406,21.923899060183068,4.740554152775662,High Risk
99.99,21.5,99.99,21.5,1,CE,11,3,2017,29.31587962962963,24.459976242592607,4.855903387037024,High Risk
295.0,54.43,295.0,54.43,1,SC,2,3,2018,25.590520833333333,22.202953013010998,3.387567820322335,High Risk
169.9,34.68,169.9,34.68,1,PA,5,4,2018,20.260266203703704,24.557341225869155,4.297075022165451,High Risk
388.0,31.03,388.0,31.03,1,BA,3,0,2018,7.734791666666666,21.82466451968718,14.089872853020513,High Risk
89.0,38.17,89.0,38.17,1,RN,1,1,2018,14.298171296296296,20.103423462503955,5.805252166207659,High Risk
72.9,18.08,72.9,18.08,1,RJ,11,0,2017,9.752118055555556,20.36119219073589,10.609074135180332,High Risk
19.9,15.1,19.9,15.1,1,SC,3,6,2018,7.906157407407408,21.296363205823422,13.390205798416014,High Risk
79.0,17.8,79.0,17.8,1,GO,11,6,2017,11.975462962962963,21.218690959704055,9.243227996741092,High Risk
49.99,20.75,49.99,20.75,1,PE,12,4,2017,20.652939814814815,21.848224999841126,1.1952851850263109,High Risk
19.9,34.15,19.9,34.15,1,AL,9,0,2017,35.1433912037037,20.46816934007035,14.67522186363335,High Risk
559.0,80.98,559.0,80.98,1,RN,12,3,2017,42.455162037037034,23.92463967775273,18.530522359284305,High Risk
44.5,21.15,44.5,21.15,1,AL,11,4,2017,22.332916666666666,21.39472463936427,0.9381920273023958,High Risk
31.9,34.15,31.9,34.15,1,PA,3,6,2018,57.39652777777778,38.8830083993156,18.513519378462178,High Risk
89.9,20.36,89.9,20.36,1,RJ,3,6,2018,30.633819444444445,25.720818228409627,4.913001216034818,High Risk
24.9,14.1,24.9,14.1,1,RJ,12,0,2017,22.027013888888888,20.732154279079268,1.2948596098096203,High Risk
29.9,15.1,29.9,15.1,1,RJ,12,0,2017,30.12244212962963,20.463059155515275,9.659382974114354,High Risk
259.9,43.85,259.9,43.85,1,MA,1,1,2018,13.367800925925925,20.1280022222381,6.760201296312173,High Risk
53.2,28.77,53.2,28.77,1,CE,12,0,2017,16.000729166666666,22.44219934781165,6.441470181144982,High Risk
29.9,16.79,29.9,16.79,1,SC,2,1,2018,30.04449074074074,21.349821045357263,8.694669695383478,High Risk
69.9,16.25,69.9,16.25,1,RJ,2,3,2018,14.26173611111111,25.65248366732659,11.390747556215478,High Risk
116.9,16.58,116.9,16.58,1,RJ,11,5,2017,40.90619212962963,21.381323144571173,19.524868985058458,High Risk
24.99,15.1,24.99,15.1,1,RS,2,6,2018,22.08917824074074,21.296363205823422,0.792815034917318,High Risk
18.0,15.11,18.0,15.11,1,RJ,2,1,2018,6.500451388888889,25.062204868986324,18.561753480097437,High Risk
128.56,29.3,128.56,29.3,1,PA,2,6,2018,23.859502314814815,27.609642267152093,3.7501399523372783,High Risk
49.9,17.63,49.9,17.63,1,CE,12,2,2017,25.2996875,22.42219141978325,2.8774960802167513,High Risk
1340.0,51.79,1340.0,51.79,1,SC,11,3,2017,14.492569444444445,21.082479070637575,6.58990962619313,High Risk
100.79,19.95,100.79,19.95,1,BA,2,2,2018,19.576828703703704,21.349821045357263,1.7729923416535591,High Risk
49.9,16.79,49.9,16.79,1,BA,3,3,2018,25.893923611111113,21.349821045357263,4.54410256575385,High Risk
42.79,60.41,42.79,60.41,1,PI,3,3,2018,7.088460648148148,22.895006078807487,15.80654543065934,High Risk
975.0,28.76,975.0,28.76,1,AL,4,5,2017,37.813472222222224,20.05409285147622,17.759379370746004,High Risk
140.0,18.23,140.0,18.23,1,RJ,2,2,2018,30.17909722222222,27.107729751772943,3.071367470449278,High Risk
142.0,79.16,142.0,79.16,1,RJ,2,4,2018,18.342280092592592,24.880502058938283,6.5382219663456915,High Risk
23.99,18.23,23.99,18.23,1,RS,3,2,2018,8.011793981481482,21.349821045357263,13.338027063875781,High Risk
190.83,12.84,190.83,12.84,1,SP,1,4,2018,11.994131944444444,21.850794725808736,9.856662781364292,High Risk
31.9,16.79,31.9,16.79,1,BA,2,2,2018,19.168252314814815,21.349821045357263,2.1815687305424483,High Risk
499.0,56.09,499.0,56.09,1,RJ,11,5,2017,25.16525462962963,24.09772236270243,1.0675322669271985,High Risk
141.0,28.35,141.0,28.35,1,RJ,12,0,2017,11.09181712962963,22.677855362925957,11.586038233296327,High Risk
76.9,15.29,76.9,15.29,1,RS,2,0,2018,18.214247685185185,21.269407490544424,3.0551598053592386,High Risk
25.9,16.79,25.9,16.79,1,MS,2,5,2018,21.722685185185185,21.349821045357263,0.37286413982792155,High Risk
169.99,96.84,169.99,96.84,1,PA,3,1,2018,29.9646875,39.781576989758996,9.816889489758996,High Risk
199.0,29.79,199.0,29.79,1,ES,11,1,2017,14.86980324074074,21.824514391075613,6.954711150334873,High Risk
108.9,26.04,108.9,26.04,1,CE,2,1,2018,28.226493055555554,27.718440882936466,0.5080521726190881,High Risk
69.9,26.03,69.9,26.03,1,BA,5,5,2018,27.214027777777776,21.36220306471751,5.851824713060267,High Risk
329.0,44.33,329.0,44.33,1,CE,3,5,2018,12.407650462962962,28.958456439351416,16.550805976388453,High Risk
49.9,34.15,49.9,34.15,1,PE,12,2,2017,14.231643518518519,22.397801752197555,8.166158233679036,High Risk
151.8,53.7,75.9,26.85,2,RJ,2,0,2018,15.76707175925926,23.59331703928889,7.826245280029632,High Risk
